id;start_date;end_date;language
1;2019-10-14T13:28:01;2019-10-15T05:16:01;SPANISH
2;2019-10-15T02:59:22;2019-10-14T13:11:46;FRENCH
3;2019-10-14T06:36:13;2019-10-14T23:03:24;ENGLISH
4;2019-10-14T10:27:42;2019-10-14T16:00:12;SPANISH
5;2019-10-14T15:53:33;2019-10-14T21:38:46;FRENCH
6;2019-10-14T11:48:17;2019-10-14T12:04:04;SPANISH
7;2019-10-14T17:54:29;2019-10-14T09:59:26;ENGLISH
8;2019-10-14T20:29:05;2019-10-15T04:32:30;ENGLISH
9;2019-10-14T09:29:39;2019-10-15T03:38:04;ENGLISH
10;2019-10-14T07:00:40;2019-10-14T18:14:42;SPANISH
